Evaluasi Vendor 2026,,,,,,,,,
,,,,,,,,,
No,Event,BULAN,Tgl Event,Vendor,Barang / Jasa,Alamat,NILAI,HURUF,REKOMENDASI
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Klapa Production,Show Management,Yogyakarta,76.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Lumicos,Documentation,Yogyakarta,81.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Paksi Band,Talent,Yogyakarta,74.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Pragina Gong,Talent,Yogyakarta,73.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Riffa Transport,Transport,Yogyakarta,73.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Srawung Resto,Resto,Yogyakarta,73.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Venerabella Arin,Talent,Yogyakarta,73.00,B,Direkomendasikan
,,,,,,,,,
10,FUNTASTRIP CIRCLE JAYA YOGYAKARTA - PANORAMA,Februari 2026,5-6 Februari 2026,Abhayagiri,Venue,Yogyakarta,90.00,A,Sangat Direkomendasikan
,FUNTASTRIP CIRCLE JAYA YOGYAKARTA - PANORAMA,Februari 2026,5-6 Februari 2026,Dexter Band,Talent,Yogyakarta,91.00,A,Sangat Direkomendasikan
,FUNTASTRIP CIRCLE JAYA YOGYAKARTA - PANORAMA,Februari 2026,5-6 Februari 2026,Dododocs,Documentation,Yogyakarta,90.00,A,Sangat Direkomendasikan
,FUNTASTRIP CIRCLE JAYA YOGYAKARTA - PANORAMA,Februari 2026,5-6 Februari 2026,MGM Jeep,Activity,Yogyakarta,91.00,A,Sangat Direkomendasikan
,FUNTASTRIP CIRCLE JAYA YOGYAKARTA - PANORAMA,Februari 2026,5-6 Februari 2026,Premiere Transport,Transport,Yogyakarta,90.00,A,Sangat Direkomendasikan
,FUNTASTRIP CIRCLE JAYA YOGYAKARTA - PANORAMA,Februari 2026,5-6 Februari 2026,TBA Event Support,Show Management,Yogyakarta,86.00,A,Sangat Direkomendasikan
,FUNTASTRIP CIRCLE JAYA YOGYAKARTA - PANORAMA,Februari 2026,5-6 Februari 2026,Dion Game Master,Game Master,Yogyakarta,91.00,A,Sangat Direkomendasikan
,FUNTASTRIP CIRCLE JAYA YOGYAKARTA - PANORAMA,Februari 2026,5-6 Februari 2026,Prime Star,Production,Yogyakarta,90.00,A,Sangat Direkomendasikan
,,,,,,,,,
11,EAST ASIA EDUCATION WEEK 2026 BRITISH COUNCIL,Februari 2026,5 Februari 2026,Arke Scents,Pengharum Ruangan,Jakarta,66.00,C,Perlu Evaluasi
,EAST ASIA EDUCATION WEEK 2026 BRITISH COUNCIL,Februari 2026,5 Februari 2026,Bigbird,Transport,Jakarta,62.00,C,Perlu Evaluasi
,EAST ASIA EDUCATION WEEK 2026 BRITISH COUNCIL,Februari 2026,5 Februari 2026,Blue Production,Multimedia,Yogyakarta,59.00,C,Perlu Evaluasi
,EAST ASIA EDUCATION WEEK 2026 BRITISH COUNCIL,Februari 2026,5 Februari 2026,Enigma Intertama,Multimedia,Jakarta,73.00,B,Direkomendasikan
,EAST ASIA EDUCATION WEEK 2026 BRITISH COUNCIL,Februari 2026,5 Februari 2026,Januar Pribadi,Show Management,Jakarta,71.00,B,Direkomendasikan
,EAST ASIA EDUCATION WEEK 2026 BRITISH COUNCIL,Februari 2026,5 Februari 2026,Migunesia,Registration,Jakarta,73.00,B,Direkomendasikan
,EAST ASIA EDUCATION WEEK 2026 BRITISH COUNCIL,Februari 2026,5 Februari 2026,Tomodachi,F&B,Jakarta,65.00,C,Perlu Evaluasi
,EAST ASIA EDUCATION WEEK 2026 BRITISH COUNCIL,Februari 2026,5 Februari 2026,Phoenix Multimedia,Production,Yogyakarta,67.00,C,Perlu Evaluasi
,EAST ASIA EDUCATION WEEK 2026 BRITISH COUNCIL,Februari 2026,5 Februari 2026,TBA Event Support,Show Management,Yogyakarta,73.00,B,Direkomendasikan
,,,,,,,,,
12,WORLD BANK WORKSHOP PERSIAPAN PENYUSUNAN PROGRAM SQTDP DAN GREEN BOOK,Februari 2026,10-13 Februari 2026,Enigma Intertama,Multimedia,Bandung,69.00,C,Perlu Evaluasi
,WORLD BANK WORKSHOP PERSIAPAN PENYUSUNAN PROGRAM SQTDP DAN GREEN BOOK,Februari 2026,10-13 Februari 2026,TBA Event Support,Manpower,Bandung,74.00,B,Direkomendasikan
,,,,,,,,,
13,RETAIL TRANSPORT BU EVI,Maret 2026,28 Feb - 1 Mar 2026,Hakafa Transport,Transport,Jakarta,67.00,C,Perlu Evaluasi
,,,,,,,,,
14,WORLD BANK RAPAT KOORDINASI LANJUTAN PERSIAPAN PENYUSUNAN PROGRAM SQTDP DAN GREEN BOOK,Maret 2026,3-5 Maret 2026,Phoenix Multimedia,Multimedia,Yogyakarta,74.00,B,Direkomendasikan
,WORLD BANK RAPAT KOORDINASI LANJUTAN PERSIAPAN PENYUSUNAN PROGRAM SQTDP DAN GREEN BOOK,Maret 2026,3-5 Maret 2026,Tekno Event Asia,Equipment,Jakarta,73.00,B,Direkomendasikan
,WORLD BANK RAPAT KOORDINASI LANJUTAN PERSIAPAN PENYUSUNAN PROGRAM SQTDP DAN GREEN BOOK,Maret 2026,3-5 Maret 2026,Miki Salman,Intepreter,Bali,60.00,C,Perlu Evaluasi
,WORLD BANK RAPAT KOORDINASI LANJUTAN PERSIAPAN PENYUSUNAN PROGRAM SQTDP DAN GREEN BOOK,Maret 2026,3-5 Maret 2026,TBA Event Support,Manpower,Yogyakarta,86.00,A,Sangat Direkomendasikan
,,,,,,,,,
15,PETRONAS BUKA BERSAMA STAKEHOLDER,Maret 2026,13 Maret 2026,86 Production,Production,Surabaya,84.00,B,Direkomendasikan
,PETRONAS BUKA BERSAMA STAKEHOLDER,Maret 2026,13 Maret 2026,MC Arin,MC,Yogyakarta,82.00,B,Direkomendasikan
,PETRONAS BUKA BERSAMA STAKEHOLDER,Maret 2026,13 Maret 2026,Cha Bakery,F&B,Surabaya,86.00,A,Sangat Direkomendasikan
,PETRONAS BUKA BERSAMA STAKEHOLDER,Maret 2026,13 Maret 2026,Westin Hotel,Venue,Surabaya,89.00,A,Sangat Direkomendasikan
,PETRONAS BUKA BERSAMA STAKEHOLDER,Maret 2026,13 Maret 2026,Vaclav,Documentation,Surabaya,61.00,C,Perlu Evaluasi
,,,,,,,,,
16,LPS - BUKBER & SILATURAHMI PEGAWAI,Maret 2026,13 Maret 2026,Phoenix Multimedia,Equipment & Production,Yogyakarta,74.00,B,Direkomendasikan
,LPS - BUKBER & SILATURAHMI PEGAWAI,Maret 2026,13 Maret 2026,Januar Pribadi,Show Management,Jakarta,81.00,B,Direkomendasikan
